idDrone,nom,type_drone,modele,autonomie,vitesse,poids
1,AigleX,Quadricoptère,AX-100,25,45,1.2
2,SkyMax,Quadricoptère,AX-100,30,50,1.3
3,Mistral,Quadricoptère,AX-100,28,47,1.25
4,Boréal,Quadricoptère,AX-100,26,44,1.2
5,Zéphyr,Quadricoptère,AX-100,29,48,1.3
6,Sirocco,Quadricoptère,AX-100,27,46,1.2
7,Tramontane,Quadricoptère,AX-100,30,50,1.35
8,Libeccio,Quadricoptère,AX-100,25,45,1.2
9,Falcon,Hexacoptère,HX-200,40,60,2.1
10,Titan,Hexacoptère,HX-200,38,58,2
11,Condor,Hexacoptère,HX-200,42,62,2.15
12,Raptor,Hexacoptère,HX-200,39,59,2.05
13,Vautour,Hexacoptère,HX-200,41,61,2.1
14,Pygargue,Hexacoptère,HX-200,40,60,2.2
15,Balbuzard,Hexacoptère,HX-200,38,58,2
16,Circaète,Hexacoptère,HX-200,43,63,2.3
17,PhoenixV,VTOL,VTOL-X,55,80,3.5
18,AresVTOL,VTOL,VTOL-X,52,78,3.4
19,HermèsV,VTOL,VTOL-X,57,82,3.6
20,ZeusV,VTOL,VTOL-X,50,75,3.3
21,AtlasV,VTOL,VTOL-X,54,79,3.5
22,OdysseyV,VTOL,VTOL-X,56,81,3.55
23,GhostDrone,NULL,XX-999,NULL,NULL,NULL
24,MiniDrone,NULL,MN-50,5,15,0.05
25,Autan,Quadricoptère,AX-100,27,46,1.22
26,Harmattan,Quadricoptère,AX-100,28,47,1.28
27,Foehn,Quadricoptère,AX-100,26,45,1.2
28,Chinook,Quadricoptère,AX-100,29,49,1.3
29,Ponant,Quadricoptère,AX-100,30,50,1.35
30,Levant,Quadricoptère,AX-100,25,44,1.2
31,Nordet,Quadricoptère,AX-100,28,48,1.25
32,Galerne,Quadricoptère,AX-100,27,46,1.2
33,"Vent Solaire",Quadricoptère,AX-100,29,47,1.3
34,Brise,Quadricoptère,AX-100,26,45,1.22
35,Albatros,Hexacoptère,HX-200,41,61,2.12
36,Faucon,Hexacoptère,HX-200,39,59,2.02
37,Aigle,Hexacoptère,HX-200,42,62,2.18
38,Milan,Hexacoptère,HX-200,40,60,2.08
39,Épervier,Hexacoptère,HX-200,38,58,2
40,Busard,Hexacoptère,HX-200,43,63,2.25
41,Harfang,Hexacoptère,HX-200,41,61,2.1
42,Autour,Hexacoptère,HX-200,39,59,2.05
43,Crécerelle,Hexacoptère,HX-200,40,60,2.1
44,Bondrée,Hexacoptère,HX-200,42,62,2.2
45,TitanV,VTOL,VTOL-X,53,78,3.45
46,CronusV,VTOL,VTOL-X,55,80,3.5
47,HeliosV,VTOL,VTOL-X,51,76,3.35
48,ApolloV,VTOL,VTOL-X,57,82,3.6
49,ArésV2,VTOL,VTOL-X,54,79,3.5
50,NikeV,VTOL,VTOL-X,52,77,3.4
51,HéphaïstosV,VTOL,VTOL-X,56,81,3.55
52,DéméterV,VTOL,VTOL-X,50,75,3.3
53,NullDrone,NULL,AX-100,25,45,1.2
54,PoidsFou,Quadricoptère,AX-100,25,45,NULL
55,VitesseFolle,Hexacoptère,HX-200,40,NULL,2.1
