idDrone,nom,capacite_charge
1,AigleX,2.5
2,SkyMax,2.5
3,Mistral,2.5
4,Boréal,2.5
5,Zéphyr,2.5
6,Sirocco,2.5
7,Tramontane,2.5
8,Libeccio,2.5
9,Falcon,5.0
10,Titan,5.0
11,Condor,5.0
12,Raptor,5.0
13,Vautour,5.0
14,Pygargue,5.0
15,Balbuzard,5.0
16,Circaète,5.0
17,PhoenixV,10.0
18,AresVTOL,10.0
19,HermèsV,10.0
20,ZeusV,10.0
21,AtlasV,10.0
22,OdysseyV,10.0
23,GhostDrone,0.0
24,MiniDrone,0.1
25,Autan,2.5
26,Harmattan,2.5
27,Foehn,2.5
28,Chinook,2.5
29,Ponant,2.5
30,Levant,2.5
31,Nordet,2.5
32,Galerne,2.5
33,Vent Solaire,2.5
34,Brise,2.5
35,Albatros,5.0
36,Faucon,5.0
37,Aigle,5.0
38,Milan,5.0
39,Épervier,5.0
40,Busard,5.0
41,Harfang,5.0
42,Autour,5.0
43,Crécerelle,5.0
44,Bondrée,5.0
45,TitanV,10.0
46,CronusV,10.0
47,HeliosV,10.0
48,ApolloV,10.0
49,ArésV2,10.0
50,NikeV,10.0
51,HéphaïstosV,10.0
52,DéméterV,10.0
53,NullDrone,2.5
54,PoidsFou,999.0
55,VitesseFolle,5.0
